inventory_id,product_id,store_id,stock_quantity,last_updated
1,1,1,89,2026-07-07
2,2,1,132,2026-07-07
3,3,1,163,2026-07-07
4,4,1,84,2026-07-07
5,5,1,235,2026-07-07
6,6,1,220,2026-07-07
7,7,1,207,2026-07-07
8,8,1,103,2026-07-07
9,9,1,290,2026-07-07
10,10,1,438,2026-07-07
11,11,1,498,2026-07-07
12,12,1,244,2026-07-07
13,13,1,264,2026-07-07
14,14,1,24,2026-07-07
15,15,1,248,2026-07-07
16,16,1,404,2026-07-07
17,17,1,18,2026-07-07
18,18,1,108,2026-07-07
19,19,1,334,2026-07-07
20,20,1,26,2026-07-07
21,21,1,345,2026-07-07
22,22,1,408,2026-07-07
23,23,1,58,2026-07-07
24,24,1,69,2026-07-07
25,25,1,121,2026-07-07
26,26,1,313,2026-07-07
27,27,1,499,2026-07-07
28,28,1,135,2026-07-07
29,29,1,289,2026-07-07
30,30,1,442,2026-07-07
31,31,1,312,2026-07-07
32,32,1,493,2026-07-07
33,33,1,189,2026-07-07
34,34,1,443,2026-07-07
35,35,1,316,2026-07-07
36,36,1,366,2026-07-07
37,37,1,164,2026-07-07
38,38,1,181,2026-07-07
39,39,1,263,2026-07-07
40,40,1,84,2026-07-07
41,41,1,253,2026-07-07
42,42,1,230,2026-07-07
43,43,1,76,2026-07-07
44,44,1,451,2026-07-07
45,45,1,144,2026-07-07
46,46,1,21,2026-07-07
47,47,1,11,2026-07-07
48,48,1,335,2026-07-07
49,49,1,372,2026-07-07
50,50,1,423,2026-07-07
51,51,1,231,2026-07-07
52,52,1,17,2026-07-07
53,53,1,416,2026-07-07
54,54,1,459,2026-07-07
55,55,1,165,2026-07-07
56,56,1,328,2026-07-07
57,57,1,95,2026-07-07
58,58,1,242,2026-07-07
59,59,1,99,2026-07-07
60,60,1,313,2026-07-07
61,61,1,324,2026-07-07
62,62,1,66,2026-07-07
63,63,1,202,2026-07-07
64,64,1,70,2026-07-07
65,65,1,105,2026-07-07
66,66,1,443,2026-07-07
67,67,1,100,2026-07-07
68,68,1,240,2026-07-07
69,69,1,222,2026-07-07
70,70,1,410,2026-07-07
71,71,1,61,2026-07-07
72,72,1,456,2026-07-07
73,73,1,179,2026-07-07
74,74,1,14,2026-07-07
75,75,1,386,2026-07-07
76,76,1,335,2026-07-07
77,77,1,281,2026-07-07
78,78,1,250,2026-07-07
79,79,1,200,2026-07-07
80,80,1,370,2026-07-07
81,81,1,46,2026-07-07
82,82,1,26,2026-07-07
83,83,1,191,2026-07-07
