order_id,customer_id,store_id,employee_id,order_date,order_status
1,13297,21,185,2026-03-22,Pending
2,7937,37,31,2024-12-26,Returned
3,24446,33,265,2025-04-09,Returned
4,35857,28,454,2026-07-01,Cancelled
5,40239,34,322,2025-03-12,Completed
6,22571,35,206,2025-08-13,Cancelled
7,39885,25,207,2026-06-19,Cancelled
8,8268,49,361,2025-04-05,Completed
9,10711,48,91,2025-05-10,Pending
10,35279,15,60,2026-05-28,Returned
11,24982,37,237,2025-02-11,Cancelled
12,40753,16,67,2024-08-15,Cancelled
13,12536,36,409,2026-03-09,Pending
14,13842,24,368,2025-10-02,Completed
15,37674,21,217,2024-11-23,Pending
16,39480,29,337,2025-09-12,Returned
17,19430,38,458,2024-10-29,Returned
18,19282,12,120,2025-02-22,Completed
19,22250,5,330,2024-08-08,Pending
20,8536,14,368,2026-01-05,Cancelled
21,19257,12,444,2024-12-28,Pending
22,13387,8,294,2024-07-16,Pending
23,8458,24,117,2024-12-06,Cancelled
24,881,2,87,2025-02-04,Completed
25,49834,1,357,2024-08-30,Cancelled
26,40663,38,168,2025-05-22,Cancelled
27,39425,11,80,2024-10-16,Returned
28,48299,16,44,2026-01-10,Returned
29,44677,14,369,2025-01-13,Pending
30,34775,28,263,2026-04-21,Returned
31,1975,4,378,2024-08-25,Cancelled
32,18973,1,50,2025-02-13,Completed
33,16353,17,144,2024-07-24,Pending
34,41246,33,271,2024-07-24,Returned
35,9738,19,424,2025-09-27,Returned
36,3301,27,195,2025-01-12,Completed
37,25440,2,256,2025-12-23,Pending
38,9164,2,136,2025-08-13,Completed
39,25372,27,452,2024-08-11,Cancelled
40,30680,9,427,2025-07-30,Returned
41,44322,29,107,2026-01-13,Cancelled
42,10230,27,278,2024-12-03,Cancelled
43,42591,43,331,2024-12-25,Cancelled
44,48932,41,378,2025-02-10,Cancelled
45,3971,38,341,2025-01-31,Pending
46,34528,29,297,2026-03-20,Cancelled
47,44410,25,48,2025-11-05,Returned
48,9511,34,435,2024-09-11,Completed
49,7174,33,49,2025-05-31,Pending
50,21920,16,445,2026-06-30,Returned
51,43125,37,442,2025-12-14,Cancelled
52,31917,29,357,2026-02-24,Cancelled
53,32653,21,405,2025-08-09,Returned
54,24962,49,376,2025-01-22,Pending
55,46299,12,40,2025-04-09,Completed
56,27118,9,291,2025-10-24,Pending
57,38763,24,455,2025-04-25,Completed
58,20628,3,472,2024-11-09,Returned
59,30214,4,20,2026-03-06,Completed
60,31722,13,200,2025-03-10,Returned
