product_id,product_name,brand,category_id,supplier_id,cost_price,selling_price,stock_unit
1,Great Electronics,Apple,1,4,2945.58,3666.45,Box
2,Computer Groceries,Fortune,3,9,3204.66,3325.58,Box
3,Success Clothing,Adidas,2,8,4105.15,6427.34,Box
4,Into Sports,Cosco,5,4,1227.66,6978.04,Litre
5,Attention Furniture,Home Centre,4,6,2242.92,3061.6,Kg
6,Support Furniture,IKEA,4,4,4111.52,1669.7,Packet
7,Ahead Furniture,Home Centre,4,5,714.4,3350.95,Box
8,General Clothing,Adidas,2,10,1340.96,3413.32,Box
9,Her Electronics,Sony,1,10,509.89,1273.66,Packet
10,Serve Electronics,Samsung,1,3,3004.48,3285.46,Litre
11,Standard Electronics,Apple,1,8,1908.73,2901.68,Kg
12,Really Furniture,Nilkamal,4,3,3289.47,3997.87,Piece
13,Population Groceries,India Gate,3,7,1337.92,6589.77,Litre
14,No Furniture,Home Centre,4,8,560.08,716.58,Box
15,Water Clothing,Levis,2,4,493.5,1902.99,Piece
16,Many Groceries,India Gate,3,6,2452.71,6208.79,Packet
17,Century Sports,Cosco,5,2,1128.98,3972.01,Litre
18,Development Clothing,Puma,2,8,4201.09,2460.45,Piece
19,Give Groceries,India Gate,3,6,4827.16,6775.97,Kg
20,Establish Electronics,Samsung,1,10,1314.25,5496.22,Kg
21,Information Clothing,Adidas,2,4,4237.97,2777.45,Kg
22,Book Sports,Nivia,5,3,3810.92,2826.08,Box
23,Quite Groceries,Fortune,3,1,980.48,2981.19,Packet
24,Rest Furniture,Nilkamal,4,4,356.02,6710.36,Litre
25,Just Electronics,Apple,1,7,2980.62,6832.68,Kg
26,Seat Sports,Yonex,5,5,3535.67,6780.34,Box
27,Detail Clothing,Levis,2,10,1579.2,589.44,Packet
28,Nothing Electronics,Apple,1,2,3976.73,6341.19,Kg
29,Subject Groceries,Aashirvaad,3,3,3442.96,1608.59,Box
30,Study Clothing,Adidas,2,6,2871.16,1541.94,Kg
31,Season Sports,Yonex,5,8,3776.38,4270.2,Kg
32,While Groceries,Fortune,3,9,2616.94,5611.0,Litre
33,Wear Electronics,Apple,1,10,4996.86,6627.19,Piece
34,Environment Sports,Yonex,5,8,4552.44,3555.61,Litre
35,Country Groceries,Fortune,3,1,1045.28,6576.42,Kg
36,Once Clothing,Levis,2,7,114.31,3441.89,Box
37,At Sports,Yonex,5,8,4487.59,4842.07,Kg
38,Maintain Groceries,India Gate,3,7,3806.89,5659.32,Piece
39,Power Groceries,India Gate,3,3,3414.25,5244.19,Box
40,Effort Electronics,Apple,1,7,2422.65,4338.21,Litre
41,Strong Electronics,Sony,1,5,3685.29,4921.82,Piece
42,Idea Electronics,Dell,1,3,1803.6,3905.77,Box
43,Sense Clothing,Nike,2,2,2237.64,3720.38,Litre
44,Difference Clothing,Adidas,2,5,300.33,6037.03,Piece
45,Dinner Sports,Yonex,5,8,3322.58,1204.21,Kg
46,Day Electronics,Samsung,1,8,4527.67,3044.24,Litre
47,Action Furniture,IKEA,4,8,2701.98,6048.59,Kg
48,Run Furniture,Home Centre,4,2,3203.81,614.26,Kg
49,Do Electronics,Apple,1,2,4643.92,5141.65,Litre
50,Realize Electronics,Samsung,1,4,4664.4,2281.97,Box
51,Budget Electronics,Dell,1,7,3249.93,5600.45,Piece
52,Answer Sports,Nivia,5,2,1897.85,562.81,Packet
53,Use Electronics,Apple,1,1,4907.82,3672.86,Kg
54,Fact Furniture,Home Centre,4,8,4983.32,5807.31,Box
55,Nearly Groceries,Aashirvaad,3,3,3433.12,5397.48,Box
56,Practice Sports,Nivia,5,6,3076.18,3580.67,Packet
57,While Electronics,Apple,1,4,3537.23,4532.54,Box
58,Huge Sports,Cosco,5,3,4165.81,1288.57,Box
59,Important Groceries,India Gate,3,2,4926.49,6482.26,Piece
60,Over Clothing,Puma,2,6,4296.54,6869.9,Piece
61,Camera Electronics,Dell,1,7,1488.81,758.37,Kg
62,Base Sports,Yonex,5,8,2509.75,3072.74,Litre
63,Miss Furniture,Nilkamal,4,9,4658.27,805.65,Kg
64,Unit Clothing,Nike,2,9,3006.16,3906.9,Box
65,Smile Furniture,IKEA,4,1,3607.93,2902.41,Kg
66,Past Electronics,Samsung,1,3,2415.17,3525.51,Box
67,Benefit Electronics,Apple,1,10,3190.51,5548.93,Packet
68,Human Clothing,Levis,2,4,1345.23,2139.22,Litre
69,Economic Furniture,Nilkamal,4,10,3334.45,1462.53,Litre
70,Than Sports,Yonex,5,5,2110.2,3636.42,Packet
71,Personal Furniture,Home Centre,4,7,1579.17,4378.31,Box
72,Stand Clothing,Puma,2,5,1958.9,2169.09,Piece
73,Maybe Furniture,Home Centre,4,1,3396.96,5800.5,Box
74,Resource Furniture,IKEA,4,7,4986.97,3792.67,Litre
75,Decision Furniture,IKEA,4,4,993.53,4636.49,Litre
76,Yes Clothing,Levis,2,7,3341.88,590.03,Litre
77,End Furniture,IKEA,4,2,3180.68,6056.45,Box
78,Manager Sports,Yonex,5,4,4891.19,2782.48,Packet
79,Material Clothing,Puma,2,6,688.37,6710.86,Packet
80,Determine Groceries,Fortune,3,6,3107.43,6970.7,Packet
81,Possible Clothing,Nike,2,7,1106.53,2922.47,Box
82,Become Groceries,India Gate,3,3,4975.04,6518.87,Packet
83,Under Furniture,IKEA,4,6,2535.16,6822.63,Litre
84,Place Electronics,HP,1,9,3099.13,4552.79,Piece
85,Car Furniture,Nilkamal,4,8,1100.38,633.31,Litre
86,Ahead Sports,Cosco,5,3,352.54,1747.92,Litre
87,Business Sports,Nivia,5,7,4501.43,6221.51,Litre
88,Former Groceries,Fortune,3,10,4369.28,680.35,Box
89,Prevent Furniture,Nilkamal,4,8,1624.74,6572.9,Packet
90,Very Furniture,Home Centre,4,2,4039.08,740.63,Kg
91,Should Furniture,IKEA,4,3,4569.77,6625.89,Litre
92,Give Clothing,Puma,2,7,2966.75,2685.32,Packet
93,Ground Clothing,Levis,2,5,3941.42,2348.16,Packet
94,Policy Groceries,India Gate,3,10,2553.82,1475.75,Piece
95,Near Clothing,Nike,2,10,2314.25,5873.91,Piece
96,Few Furniture,Nilkamal,4,5,2137.41,3170.77,Piece
97,Project Furniture,Nilkamal,4,4,4021.79,2031.37,Kg
98,Field Clothing,Adidas,2,5,3716.6,3399.66,Piece
