return_id,order_id,product_id,return_date,return_reason,refund_amount
1,58729,1308,2024-09-13,Defective Product,2335.0
2,93168,703,2025-08-10,Wrong Item Delivered,9908.28
3,2378,1404,2024-09-03,Late Delivery,156.04
4,74526,2388,2026-03-04,Late Delivery,4486.07
5,84168,2379,2026-04-03,Defective Product,3670.02
6,71791,2282,2025-05-10,Damaged Product,5494.19
7,18326,1084,2025-12-30,Wrong Item Delivered,106.63
8,85813,779,2025-05-13,Defective Product,1021.01
9,33154,658,2025-07-27,Late Delivery,6729.59
10,84297,2313,2026-05-08,Damaged Product,2193.21
11,84763,363,2024-10-04,Customer Changed Mind,1398.63
12,88246,1249,2024-12-07,Wrong Item Delivered,7170.07
13,12370,394,2026-03-19,Customer Changed Mind,5108.12
14,56358,1219,2024-12-03,Wrong Item Delivered,6037.06
15,62449,822,2025-02-24,Wrong Item Delivered,7708.36
16,94763,370,2026-03-28,Wrong Item Delivered,1607.46
17,76490,666,2025-06-16,Wrong Item Delivered,4275.26
18,98142,1948,2025-12-15,Customer Changed Mind,3024.58
19,67483,1080,2024-12-23,Wrong Item Delivered,6443.5
20,55133,484,2024-08-14,Customer Changed Mind,277.6
21,34091,155,2024-09-02,Customer Changed Mind,5374.81
22,45556,406,2024-08-20,Late Delivery,821.29
23,34585,350,2025-03-06,Customer Changed Mind,2432.75
24,8662,425,2025-09-28,Defective Product,8044.07
25,37295,505,2025-04-02,Late Delivery,5269.46
26,59041,1556,2025-03-18,Damaged Product,5355.01
27,524,612,2025-11-15,Late Delivery,7768.36
28,53104,43,2025-06-10,Defective Product,9981.64
29,20931,156,2025-09-16,Late Delivery,2784.02
30,78878,2135,2024-09-07,Late Delivery,116.43
31,69930,1280,2025-11-20,Wrong Item Delivered,7179.28
32,49465,1984,2024-08-09,Customer Changed Mind,4140.29
33,47157,2248,2024-11-06,Late Delivery,5124.62
34,37307,1264,2025-01-26,Damaged Product,5165.59
35,29363,1709,2025-06-18,Customer Changed Mind,112.18
36,41650,293,2026-02-01,Late Delivery,224.64
37,83725,2397,2026-01-16,Wrong Item Delivered,8858.62
38,21250,661,2025-08-11,Defective Product,894.05
39,95860,2424,2025-03-11,Defective Product,6607.73
40,542,1560,2024-07-16,Late Delivery,2725.03
41,24598,1359,2026-01-02,Late Delivery,8801.08
42,97037,1454,2025-12-01,Late Delivery,1441.24
43,27545,2236,2025-03-19,Damaged Product,2643.03
44,42652,954,2025-02-01,Damaged Product,1216.03
45,67087,2143,2026-05-20,Defective Product,749.37
46,55916,598,2026-01-18,Customer Changed Mind,1419.03
47,46334,2466,2024-08-02,Wrong Item Delivered,5780.27
48,77885,554,2026-07-10,Wrong Item Delivered,3416.77
49,69077,2142,2026-05-10,Wrong Item Delivered,3982.18
50,14250,1636,2024-07-19,Customer Changed Mind,1002.55
51,36913,780,2025-06-19,Late Delivery,1903.54
52,82435,928,2026-04-07,Late Delivery,9563.29
53,57081,585,2025-02-05,Late Delivery,8726.58
54,33331,1295,2026-03-25,Defective Product,2669.95
55,26922,797,2026-04-08,Wrong Item Delivered,5328.13
56,70462,2060,2026-04-11,Late Delivery,8869.15
57,27227,1337,2025-07-09,Wrong Item Delivered,963.78
58,17490,2434,2024-07-18,Defective Product,1966.5
59,90398,1411,2025-06-11,Wrong Item Delivered,4173.25
60,33350,1599,2024-09-09,Damaged Product,5661.87
61,35737,1413,2025-05-13,Defective Product,7590.99
62,21386,9,2026-03-28,Wrong Item Delivered,2091.85
63,48012,1056,2025-12-28,Defective Product,1619.93
64,53331,184,2025-09-30,Late Delivery,669.74
65,73248,73,2025-02-13,Customer Changed Mind,9189.1
66,66159,1504,2024-09-20,Customer Changed Mind,3162.93
67,59669,2126,2024-08-21,Late Delivery,6984.3
68,5187,363,2025-12-30,Damaged Product,7792.49
69,87027,2126,2026-05-29,Wrong Item Delivered,364.85
70,17028,576,2025-04-11,Wrong Item Delivered,985.65
71,34361,834,2025-11-02,Wrong Item Delivered,1529.19
72,47682,82,2024-08-07,Customer Changed Mind,752.19
73,14873,1046,2025-01-01,Customer Changed Mind,2251.04
74,77602,261,2025-03-26,Defective Product,2826.01
75,41445,560,2024-12-31,Wrong Item Delivered,7253.95
76,94029,2181,2026-05-24,Customer Changed Mind,5700.49
77,97952,1056,2024-12-01,Customer Changed Mind,7408.16
78,34384,1338,2024-11-05,Defective Product,1390.83
79,85833,2178,2025-01-23,Defective Product,3470.47
80,95921,349,2025-11-09,Wrong Item Delivered,4559.25
81,71478,1321,2025-05-07,Customer Changed Mind,5577.66
82,89369,1420,2024-10-08,Customer Changed Mind,3073.11
83,84951,2136,2024-12-30,Late Delivery,4352.03
84,61408,1158,2026-02-22,Defective Product,7163.52
85,19825,508,2024-12-20,Defective Product,8275.34
86,42468,22,2025-04-19,Customer Changed Mind,5075.29
87,23807,492,2025-11-03,Wrong Item Delivered,5542.05
